               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  57,            0.029064,           0.0069364,           0.0015744,             0.95763,             0.96775,               0.986,             0.62556,            0.027376,           0.0043906,          0.00096776,            0.006304,            0.006304,            0.006304
                  58,            0.028859,           0.0068419,           0.0016944,             0.96483,             0.97165,             0.98408,             0.63096,            0.027049,           0.0044227,           0.0011687,            0.006238,            0.006238,            0.006238
                  59,            0.028338,           0.0068855,           0.0015582,             0.97482,             0.96348,             0.98297,             0.63376,            0.026768,           0.0043346,          0.00077788,            0.006172,            0.006172,            0.006172
                  60,            0.028467,           0.0069419,           0.0017889,             0.96955,             0.96489,             0.98511,             0.64067,            0.025875,           0.0043992,          0.00089657,            0.006106,            0.006106,            0.006106
                  61,            0.028261,           0.0067458,             0.00146,             0.97021,             0.97462,             0.98512,             0.62871,            0.026419,           0.0043293,          0.00081729,             0.00604,             0.00604,             0.00604
                  62,            0.027615,           0.0068285,           0.0016186,             0.96725,             0.96919,             0.98379,             0.63809,            0.026177,           0.0043447,          0.00083766,            0.005974,            0.005974,            0.005974
                  63,            0.027576,            0.006613,           0.0015385,             0.97342,             0.97537,             0.98589,             0.63482,            0.026614,           0.0042933,          0.00097925,            0.005908,            0.005908,            0.005908
                  64,            0.027893,           0.0065945,           0.0014536,              0.9647,             0.96691,             0.98224,              0.6291,            0.027014,           0.0043578,          0.00098221,            0.005842,            0.005842,            0.005842
                  65,            0.027081,           0.0063538,           0.0011827,              0.9694,             0.95935,             0.97223,             0.62485,            0.026115,           0.0042185,          0.00082178,            0.005776,            0.005776,            0.005776
                  66,            0.025624,           0.0064097,           0.0010723,             0.97826,             0.96911,             0.98545,             0.65414,            0.025714,           0.0042643,          0.00086187,             0.00571,             0.00571,             0.00571
                  67,            0.025788,           0.0062359,            0.001013,             0.97228,             0.97935,             0.98581,             0.64534,            0.025895,           0.0042189,           0.0009096,            0.005644,            0.005644,            0.005644
                  68,            0.025446,           0.0061424,           0.0010327,             0.97804,             0.97581,             0.98755,             0.64212,            0.025652,           0.0042244,           0.0007943,            0.005578,            0.005578,            0.005578
                  69,            0.024743,            0.005901,          0.00097027,              0.9742,             0.96555,             0.97185,             0.63011,            0.025773,           0.0042522,          0.00071501,            0.005512,            0.005512,            0.005512
                  70,            0.023585,           0.0058761,          0.00084456,             0.97421,             0.97082,             0.98368,             0.63084,            0.026378,            0.004304,          0.00088826,            0.005446,            0.005446,            0.005446
                  71,            0.023713,           0.0058151,          0.00080936,             0.97279,             0.98053,             0.98726,             0.64403,            0.026245,           0.0041951,          0.00091276,             0.00538,             0.00538,             0.00538
                  72,            0.023709,            0.005824,          0.00084055,             0.97318,             0.98436,             0.98638,             0.64938,            0.025898,           0.0041933,          0.00090078,            0.005314,            0.005314,            0.005314
                  73,            0.024526,           0.0061759,          0.00097579,             0.97375,             0.97596,             0.98694,             0.63777,             0.02588,           0.0042145,          0.00085337,            0.005248,            0.005248,            0.005248
                  74,            0.024852,           0.0061335,          0.00088801,             0.97577,             0.96919,               0.986,             0.64539,            0.025459,           0.0041732,          0.00083666,            0.005182,            0.005182,            0.005182
                  75,            0.024919,           0.0060402,          0.00089084,             0.97904,             0.97618,             0.98846,             0.64076,            0.025371,           0.0041592,          0.00079799,            0.005116,            0.005116,            0.005116
                  76,            0.024293,           0.0060658,          0.00093556,             0.96573,             0.98206,             0.98555,             0.63972,             0.02561,            0.004181,          0.00077036,             0.00505,             0.00505,             0.00505
                  77,            0.023519,           0.0056388,          0.00076272,             0.97743,             0.95888,             0.97129,             0.63439,            0.025236,           0.0041759,          0.00076135,            0.004984,            0.004984,            0.004984
                  78,             0.02216,           0.0056022,          0.00073647,             0.97646,             0.97839,             0.98812,             0.64935,            0.025471,           0.0042131,          0.00090579,            0.004918,            0.004918,            0.004918
                  79,            0.021822,           0.0054807,            0.000708,             0.97411,             0.97993,             0.98796,             0.64407,            0.025647,           0.0041864,           0.0008734,            0.004852,            0.004852,            0.004852
                  80,            0.022571,           0.0054728,          0.00072295,             0.98014,             0.98008,             0.98718,             0.63971,            0.025996,           0.0041846,          0.00087388,            0.004786,            0.004786,            0.004786
                  81,            0.023014,           0.0057642,          0.00077082,             0.96841,             0.98115,              0.9844,             0.64795,            0.025371,            0.004167,          0.00084969,             0.00472,             0.00472,             0.00472
                  82,            0.022812,           0.0057016,          0.00073961,             0.98138,              0.9747,             0.98864,             0.65136,             0.02498,           0.0041171,          0.00087373,            0.004654,            0.004654,            0.004654
                  83,            0.022566,           0.0056308,          0.00072544,             0.97894,              0.9789,             0.98886,             0.65066,            0.024979,           0.0041368,           0.0007362,            0.004588,            0.004588,            0.004588
                  84,            0.022321,           0.0056761,          0.00073923,             0.97559,             0.98671,             0.98866,             0.65035,            0.025356,           0.0041449,          0.00072755,            0.004522,            0.004522,            0.004522
                  85,            0.023673,           0.0058676,          0.00092396,             0.97558,             0.98265,             0.98675,              0.6516,            0.025094,           0.0041129,          0.00073736,            0.004456,            0.004456,            0.004456
                  86,            0.023771,           0.0057561,          0.00084745,             0.97264,             0.98054,             0.98838,             0.65013,             0.02514,           0.0041326,          0.00092765,             0.00439,             0.00439,             0.00439
                  87,            0.025517,           0.0062691,           0.0011994,              0.9797,             0.97291,             0.98466,              0.6507,            0.025025,            0.004126,          0.00066631,            0.004324,            0.004324,            0.004324
                  88,            0.025017,           0.0065913,           0.0012549,             0.96594,             0.97982,             0.98739,             0.65199,            0.025043,           0.0041821,          0.00059972,            0.004258,            0.004258,            0.004258
                  89,            0.025887,           0.0064027,           0.0016672,             0.97989,             0.97075,             0.98616,             0.65608,            0.024971,           0.0041248,           0.0010188,            0.004192,            0.004192,            0.004192
                  90,            0.024761,           0.0062909,           0.0011405,             0.97392,             0.98071,             0.98608,              0.6556,             0.02485,           0.0041276,          0.00071497,            0.004126,            0.004126,            0.004126
                  91,             0.02472,           0.0061401,           0.0010756,             0.97606,             0.97353,             0.98478,             0.66012,            0.024639,            0.004081,          0.00091505,             0.00406,             0.00406,             0.00406
                  92,            0.024404,           0.0062111,           0.0013131,             0.96983,              0.9815,             0.98768,             0.66006,            0.024265,           0.0040536,            0.000748,            0.003994,            0.003994,            0.003994
                  93,             0.02431,           0.0061147,           0.0010464,             0.97864,             0.96996,             0.98741,             0.66327,            0.024617,           0.0040895,          0.00088443,            0.003928,            0.003928,            0.003928
                  94,            0.024093,           0.0061454,          0.00088465,             0.97077,             0.98103,              0.9854,             0.65983,            0.024458,           0.0041204,          0.00068001,            0.003862,            0.003862,            0.003862
                  95,            0.024017,            0.005978,            0.001212,             0.97958,              0.9817,             0.98649,              0.6553,            0.024346,           0.0040807,          0.00062542,            0.003796,            0.003796,            0.003796
                  96,            0.024236,           0.0059262,            0.001053,             0.97794,             0.98126,             0.98725,              0.6602,            0.024578,           0.0040582,          0.00063944,             0.00373,             0.00373,             0.00373
                  97,            0.023705,           0.0059994,          0.00094975,             0.98071,              0.9849,             0.98875,             0.66151,            0.024227,           0.0040353,          0.00062524,            0.003664,            0.003664,            0.003664
                  98,            0.023818,           0.0060714,           0.0010452,             0.98043,             0.98121,             0.98698,             0.66502,            0.024079,           0.0040483,          0.00082312,            0.003598,            0.003598,            0.003598
                  99,            0.023383,           0.0059169,          0.00093183,             0.97186,             0.98228,              0.9867,              0.6568,            0.024525,           0.0040246,          0.00056241,            0.003532,            0.003532,            0.003532
                 100,            0.023592,           0.0058882,          0.00097463,             0.97311,             0.97974,             0.98617,              0.6565,              0.0244,           0.0040357,          0.00065568,            0.003466,            0.003466,            0.003466
                 101,            0.023107,           0.0058768,           0.0010341,             0.96902,              0.9805,             0.98633,             0.66207,            0.024421,           0.0040455,           0.0007287,              0.0034,              0.0034,              0.0034
                 102,            0.023102,           0.0058453,          0.00083142,             0.98302,             0.98035,             0.98953,             0.66378,            0.024245,           0.0039901,          0.00061703,            0.003334,            0.003334,            0.003334
                 103,            0.022669,           0.0057542,          0.00081559,             0.97894,             0.98535,              0.9891,             0.67116,            0.023843,           0.0039914,           0.0005645,            0.003268,            0.003268,            0.003268
                 104,            0.023233,           0.0055143,          0.00078277,             0.98277,             0.98625,             0.98932,             0.66636,            0.023818,             0.00398,          0.00062951,            0.003202,            0.003202,            0.003202
                 105,            0.022909,           0.0057299,          0.00079681,             0.98082,             0.98495,             0.99054,             0.67103,            0.023946,           0.0039755,           0.0006925,            0.003136,            0.003136,            0.003136
                 106,            0.022909,           0.0058204,          0.00084497,              0.9749,             0.98457,             0.98837,             0.66647,               0.024,           0.0040249,          0.00054827,             0.00307,             0.00307,             0.00307
                 107,            0.023212,           0.0056939,          0.00074998,             0.98225,             0.98011,             0.98873,             0.66896,            0.024084,           0.0040001,          0.00059506,            0.003004,            0.003004,            0.003004
                 108,            0.022506,           0.0056402,          0.00069445,             0.98113,             0.98211,             0.98929,             0.66835,            0.024196,           0.0040019,          0.00060097,            0.002938,            0.002938,            0.002938
                 109,            0.022511,           0.0057634,          0.00075109,             0.98599,             0.98225,             0.98951,             0.66795,            0.023992,           0.0039924,          0.00068081,            0.002872,            0.002872,            0.002872
                 110,            0.022383,           0.0056872,          0.00071116,             0.97791,             0.98316,              0.9878,             0.67549,            0.023753,           0.0039527,          0.00081697,            0.002806,            0.002806,            0.002806
                 111,             0.02234,           0.0056775,          0.00076906,               0.977,             0.98523,             0.98714,             0.67147,            0.024048,           0.0039836,          0.00062637,             0.00274,             0.00274,             0.00274
                 112,            0.022254,           0.0056487,          0.00099099,             0.97114,              0.9898,             0.98829,             0.67247,            0.023543,           0.0039523,          0.00067422,            0.002674,            0.002674,            0.002674
                 113,            0.021934,           0.0057296,          0.00074619,             0.97556,              0.9892,             0.98961,             0.67731,             0.02359,            0.003946,          0.00058117,            0.002608,            0.002608,            0.002608
