               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  59,            0.024946,           0.0057776,           0.0010026,             0.97948,             0.98106,             0.98837,             0.64914,            0.025548,           0.0038764,          0.00075743,            0.006172,            0.006172,            0.006172
                  60,            0.024714,           0.0056973,          0.00086678,             0.97882,             0.98637,             0.98934,             0.65876,            0.025226,           0.0038771,          0.00061638,            0.006106,            0.006106,            0.006106
                  61,            0.024735,           0.0059172,           0.0011005,             0.98073,             0.97722,             0.98638,             0.65292,            0.025452,           0.0038792,          0.00073706,             0.00604,             0.00604,             0.00604
                  62,             0.02482,           0.0058773,           0.0010612,             0.97934,             0.98402,             0.98841,             0.66007,            0.025113,           0.0038389,          0.00072641,            0.005974,            0.005974,            0.005974
                  63,            0.024288,           0.0056578,          0.00090059,             0.97638,             0.98392,             0.98614,             0.66304,             0.02506,           0.0038207,          0.00066856,            0.005908,            0.005908,            0.005908
                  64,            0.024667,           0.0056519,           0.0009654,             0.98369,             0.96893,             0.98739,             0.65502,            0.025327,           0.0038436,          0.00081573,            0.005842,            0.005842,            0.005842
                  65,            0.023995,           0.0055875,          0.00087354,             0.97985,              0.9797,             0.98757,             0.66348,            0.025294,           0.0038248,          0.00072516,            0.005776,            0.005776,            0.005776
                  66,            0.024029,           0.0055892,          0.00089772,             0.96537,             0.97741,             0.98648,             0.66233,            0.024628,           0.0039522,          0.00067236,             0.00571,             0.00571,             0.00571
                  67,            0.023718,           0.0056674,          0.00077229,             0.98101,             0.98572,             0.98905,             0.65753,            0.025091,           0.0038035,          0.00061096,            0.005644,            0.005644,            0.005644
                  68,            0.023736,            0.005388,          0.00097709,             0.98425,             0.98345,             0.98872,             0.67253,             0.02461,           0.0038015,          0.00074872,            0.005578,            0.005578,            0.005578
                  69,            0.024275,           0.0055431,          0.00060532,              0.9865,             0.97682,             0.98804,             0.67112,             0.02453,           0.0037729,          0.00060554,            0.005512,            0.005512,            0.005512
                  70,            0.023664,           0.0057271,          0.00074355,             0.98091,             0.98961,             0.98915,             0.66866,            0.024564,           0.0037662,          0.00059827,            0.005446,            0.005446,            0.005446
                  71,            0.023958,           0.0055585,          0.00090827,             0.97642,             0.98947,             0.98613,             0.66483,            0.024884,           0.0037879,          0.00068524,             0.00538,             0.00538,             0.00538
