               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  77,             0.02642,            0.006172,           0.0010002,              0.9736,             0.98652,             0.98545,              0.6502,            0.025767,           0.0039989,          0.00059553,            0.004984,            0.004984,            0.004984
                  78,            0.026148,           0.0061036,          0.00093228,             0.97071,             0.98576,              0.9847,             0.65184,            0.026222,           0.0039788,          0.00059855,            0.004918,            0.004918,            0.004918
                  79,            0.026128,           0.0061328,          0.00092804,             0.97102,             0.98783,             0.98817,             0.65484,            0.025618,           0.0039775,          0.00056749,            0.004852,            0.004852,            0.004852
                  80,             0.02612,           0.0061325,          0.00090969,              0.9727,             0.98866,             0.98577,             0.65234,            0.026121,           0.0039966,           0.0005503,            0.004786,            0.004786,            0.004786
                  81,            0.026107,           0.0061619,          0.00092563,             0.96595,             0.98654,             0.98677,             0.66472,            0.025342,           0.0039488,          0.00056321,             0.00472,             0.00472,             0.00472
                  82,            0.026017,           0.0062288,           0.0010361,             0.97243,             0.97798,             0.98548,             0.65487,            0.025591,            0.003997,          0.00059013,            0.004654,            0.004654,            0.004654
                  83,            0.025889,            0.006273,           0.0010561,             0.96882,             0.98762,             0.98847,             0.66053,            0.025609,           0.0039206,          0.00054306,            0.004588,            0.004588,            0.004588
                  84,            0.026033,           0.0062077,          0.00093475,             0.97183,             0.97705,             0.98689,             0.65026,            0.025891,           0.0040183,           0.0006167,            0.004522,            0.004522,            0.004522
                  85,            0.026151,           0.0060145,           0.0010647,             0.97177,             0.98552,             0.98783,             0.64628,             0.02628,           0.0039961,          0.00051622,            0.004456,            0.004456,            0.004456
                  86,            0.025853,           0.0061675,           0.0010931,             0.97568,             0.97766,             0.98658,             0.65428,            0.025551,           0.0039991,           0.0005119,             0.00439,             0.00439,             0.00439
                  87,            0.025508,           0.0059871,          0.00085939,              0.9752,             0.97651,             0.98714,             0.65806,            0.025328,           0.0039581,          0.00057869,            0.004324,            0.004324,            0.004324
                  88,            0.025143,           0.0060169,          0.00088057,             0.96459,             0.99054,             0.98661,             0.65724,            0.025521,           0.0039466,           0.0005235,            0.004258,            0.004258,            0.004258
                  89,             0.02565,           0.0061126,           0.0010533,             0.96736,             0.98216,             0.98679,             0.66158,              0.0254,            0.003953,          0.00053975,            0.004192,            0.004192,            0.004192
                  90,            0.025339,            0.005875,            0.001011,             0.97026,             0.98283,             0.98728,             0.67575,            0.025332,           0.0039114,          0.00051392,            0.004126,            0.004126,            0.004126
                  91,            0.025091,           0.0058474,          0.00077484,             0.97539,             0.98691,             0.98853,             0.67033,             0.02506,           0.0038611,          0.00052896,             0.00406,             0.00406,             0.00406
                  92,            0.024984,           0.0062464,          0.00088796,             0.97707,             0.98171,             0.98983,              0.6649,            0.025038,           0.0038939,           0.0005841,            0.003994,            0.003994,            0.003994
                  93,            0.024851,           0.0060059,          0.00075509,             0.97644,             0.98589,             0.98955,             0.67008,            0.024799,           0.0038784,          0.00052024,            0.003928,            0.003928,            0.003928
                  94,            0.024688,           0.0059391,          0.00067605,             0.97523,             0.98782,             0.98996,             0.66724,            0.025015,            0.003867,          0.00048284,            0.003862,            0.003862,            0.003862
                  95,            0.024815,           0.0056893,          0.00086588,             0.97804,             0.98894,             0.99066,             0.66321,             0.02528,           0.0038573,          0.00048881,            0.003796,            0.003796,            0.003796
                  96,            0.024768,           0.0058224,          0.00087975,             0.97797,             0.99032,             0.99014,             0.67493,            0.024533,           0.0038187,          0.00048092,             0.00373,             0.00373,             0.00373
                  97,            0.024223,             0.00576,          0.00067239,             0.97947,             0.98924,             0.98952,              0.6637,             0.02493,           0.0038608,           0.0004865,            0.003664,            0.003664,            0.003664
                  98,            0.024531,           0.0057401,          0.00075822,             0.97966,             0.98556,             0.98814,             0.66779,             0.02502,           0.0038416,          0.00049614,            0.003598,            0.003598,            0.003598
                  99,            0.024459,           0.0058208,          0.00074947,             0.97563,             0.98891,             0.98994,             0.66515,            0.024686,           0.0038354,          0.00045164,            0.003532,            0.003532,            0.003532
                 100,            0.024522,           0.0058073,          0.00090917,             0.97887,             0.98294,              0.9901,             0.67551,            0.024454,           0.0038224,          0.00050082,            0.003466,            0.003466,            0.003466
                 101,             0.02424,           0.0057873,          0.00084406,             0.97652,             0.98511,             0.99048,             0.66979,            0.024742,           0.0038585,          0.00049716,              0.0034,              0.0034,              0.0034
                 102,            0.024112,           0.0058059,          0.00088799,             0.97777,             0.98934,             0.99006,             0.66677,            0.024923,           0.0038501,          0.00045063,            0.003334,            0.003334,            0.003334
                 103,             0.02394,            0.005655,          0.00092552,             0.97899,             0.98735,             0.99039,             0.66958,            0.024581,           0.0038035,          0.00054218,            0.003268,            0.003268,            0.003268
                 104,            0.024054,           0.0058559,          0.00078956,              0.9726,             0.99093,             0.98956,             0.67374,            0.024294,            0.003805,          0.00051451,            0.003202,            0.003202,            0.003202
                 105,            0.023758,           0.0056387,          0.00088451,             0.97608,             0.98905,             0.98928,              0.6695,            0.024518,           0.0038152,          0.00048912,            0.003136,            0.003136,            0.003136
                 106,            0.023473,           0.0057044,          0.00072272,             0.97445,             0.99035,             0.98998,              0.6677,            0.024544,           0.0038296,          0.00048573,             0.00307,             0.00307,             0.00307
                 107,            0.023608,           0.0057114,          0.00069328,             0.97764,             0.99059,             0.98948,             0.66961,            0.024273,           0.0037946,          0.00047507,            0.003004,            0.003004,            0.003004
                 108,            0.023747,           0.0056876,          0.00063559,             0.97733,              0.9844,             0.98959,             0.67155,            0.024138,           0.0038037,          0.00051305,            0.002938,            0.002938,            0.002938
                 109,              0.0231,           0.0056664,          0.00069502,              0.9835,             0.99109,              0.9904,             0.67528,            0.024172,           0.0038367,          0.00052304,            0.002872,            0.002872,            0.002872
                 110,            0.023265,           0.0055735,          0.00069765,             0.97879,             0.98689,             0.99049,             0.67489,            0.024143,           0.0038056,          0.00049403,            0.002806,            0.002806,            0.002806
                 111,            0.023693,           0.0055649,          0.00078515,             0.98406,              0.9857,             0.99093,               0.675,            0.023919,           0.0037957,          0.00051959,             0.00274,             0.00274,             0.00274
                 112,            0.023477,           0.0057791,          0.00086612,             0.97792,             0.98565,             0.98928,             0.67393,            0.024222,           0.0038083,          0.00055001,            0.002674,            0.002674,            0.002674
                 113,            0.022962,           0.0056325,          0.00062953,             0.97999,             0.99326,             0.99061,             0.67674,            0.024145,           0.0038052,          0.00049283,            0.002608,            0.002608,            0.002608
                 114,            0.023242,           0.0054662,          0.00057084,             0.97955,             0.98815,             0.98875,             0.67097,            0.024074,           0.0037896,          0.00048511,            0.002542,            0.002542,            0.002542
                 115,            0.023102,           0.0055686,          0.00066844,             0.98469,             0.98651,             0.99034,             0.68063,            0.024264,            0.003802,          0.00047208,            0.002476,            0.002476,            0.002476
                 116,            0.022503,           0.0055613,          0.00068054,             0.97842,             0.99244,             0.98962,             0.67671,            0.024106,             0.00377,          0.00046766,             0.00241,             0.00241,             0.00241
